4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023,5/13/2023,5/14/2023,5/15/2023,5/16/2023,5/17/2023,5/18/2023,5/19/2023,5/20/2023,5/21/2023,5/22/2023,5/23/2023,5/24/2023,5/25/2023,5/26/2023,5/27/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/2/2023,6/3/2023,6/4/2023,6/5/2023,6/6/2023,6/7/2023,6/8/2023,6/9/2023,6/10/2023,6/11/2023
0.06,0.06,0.06,0.06,0.13,3.26,0.32,3.26,2.24,3.65,1.73,6.21,1.02,2.05,0.45,5.70,0.38,5.70,4.99,3.90,3.71,3.33,1.09,4.99,4.93,0.38,3.14,8.51,0.70,2.62,1.47,1.15,2.82,0.32,3.58,0.45,0.32,4.74,2.24,2.94,4.99,1.92,0.51,2.88,4.80,4.54,2.50,3.52,1.28,0.58,5.44,6.46,7.30,4.48,1.41,6.02,4.61,2.05,3.26,6.46,5.95
0.06,0.06,0.06,0.06,0.13,4.86,0.32,1.86,2.69,4.54,2.62,3.52,2.05,3.14,0.45,3.52,1.79,4.99,3.14,2.24,3.01,1.86,1.28,6.02,5.12,1.47,5.95,8.51,3.26,1.22,1.34,4.67,1.73,0.32,4.42,1.28,0.26,4.99,0.32,1.73,5.82,0.64,1.15,4.42,3.07,4.54,0.70,4.10,2.69,0.58,6.91,5.57,8.51,6.34,2.05,2.62,4.35,2.94,4.74,3.58,4.10
0.06,0.06,0.06,0.06,0.13,5.44,0.32,2.05,1.02,6.02,3.84,4.03,2.43,2.62,0.45,3.58,1.86,2.94,4.74,0.38,2.62,1.41,1.34,4.35,3.65,2.43,5.89,4.86,2.56,2.94,1.66,6.14,0.96,0.32,1.60,1.41,0.26,5.89,0.32,0.45,4.80,0.70,2.30,7.42,2.69,4.16,1.60,5.95,3.97,0.70,4.74,7.30,8.45,7.62,2.37,3.20,5.12,2.88,4.48,4.29,3.71
0.06,0.06,0.06,0.06,0.13,5.44,1.15,0.77,0.32,3.65,4.03,0.77,2.56,1.86,0.45,1.66,2.05,1.92,1.86,0.32,3.39,0.70,2.75,4.29,2.05,2.43,4.61,6.72,1.28,5.63,1.79,6.98,0.38,0.32,1.15,1.98,1.28,4.35,0.32,1.41,2.94,0.38,3.14,7.42,3.01,5.63,2.05,6.02,3.58,2.75,5.82,10.11,7.74,7.81,3.14,1.86,5.50,3.26,6.98,4.54,3.90
0.06,0.06,0.06,0.06,0.13,5.18,4.10,0.32,0.32,4.54,4.35,0.32,4.29,4.74,0.45,0.90,1.28,1.60,0.32,0.32,3.26,0.77,2.56,3.52,3.97,2.69,4.10,1.60,0.70,7.74,0.51,6.85,0.32,0.38,1.34,1.73,5.50,2.56,0.32,2.88,1.15,0.70,4.10,6.59,5.06,6.46,1.66,6.53,2.69,3.52,2.37,9.54,7.55,6.46,3.46,1.98,6.34,3.71,3.97,1.34,4.86
0.06,0.06,0.06,0.06,0.13,1.41,2.82,0.32,0.32,2.50,3.39,0.32,5.50,5.18,1.22,2.94,0.32,1.98,0.32,1.02,0.77,0.51,1.98,3.07,3.39,1.28,3.20,2.30,0.51,4.48,0.64,2.56,0.32,1.28,2.69,0.58,5.76,2.05,0.32,4.67,0.32,1.15,4.54,7.74,4.29,5.76,4.67,3.65,0.38,2.30,3.84,9.22,4.03,4.22,4.93,1.66,4.93,2.82,5.95,0.96,4.03
0.06,0.06,0.06,0.06,0.13,0.58,4.35,0.32,0.32,2.75,3.26,0.32,5.76,4.80,2.56,5.89,0.51,1.73,0.32,3.07,0.45,0.38,1.86,2.94,4.16,1.28,1.98,3.07,0.45,4.10,3.07,2.11,0.32,1.41,4.48,0.45,6.27,3.46,0.32,7.17,0.32,1.09,3.78,4.16,2.43,6.21,5.38,3.46,0.45,1.66,3.78,6.02,2.37,5.82,7.68,2.11,4.61,3.90,6.27,3.14,6.08
0.06,0.06,0.06,0.06,0.13,0.32,2.50,0.32,0.32,4.67,1.60,0.32,5.76,3.65,1.92,5.63,1.66,0.13,0.32,2.56,0.32,2.18,0.77,3.20,4.16,3.90,2.94,3.65,1.02,3.90,5.31,2.11,0.32,2.43,5.06,0.51,5.38,4.48,0.38,8.51,0.32,2.11,3.84,3.07,2.69,3.97,4.16,2.88,3.07,1.41,3.26,3.46,2.05,1.60,12.10,2.05,3.58,5.38,4.35,4.74,5.63
0.06,0.06,0.06,0.06,0.13,0.32,0.58,0.32,0.32,3.90,1.66,0.32,5.44,3.84,2.56,5.57,1.92,0.45,0.32,3.46,0.32,0.77,1.98,4.16,2.37,4.03,3.97,3.78,1.22,5.06,6.72,3.84,0.32,3.39,5.95,1.22,2.94,3.65,2.37,4.67,0.32,1.86,3.33,2.30,1.47,3.71,4.54,1.41,3.33,1.22,2.37,2.94,1.54,2.37,12.03,2.62,3.07,4.93,1.28,3.14,5.82
0.06,0.06,0.06,0.06,0.13,0.38,0.32,0.32,0.32,3.90,0.64,0.32,2.62,2.56,1.34,1.79,2.05,0.38,0.96,1.73,0.32,4.16,3.46,3.52,2.50,4.42,1.92,2.43,2.56,3.84,7.17,3.58,0.32,3.01,2.56,2.30,2.50,2.69,2.94,3.46,0.45,1.79,2.62,1.28,2.69,3.26,0.70,0.64,3.20,2.30,2.18,6.66,5.70,5.89,9.22,2.18,3.26,6.46,0.38,4.16,5.06
